#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2013 12 07 10 55  1.6  0.2 10.5  1.6  4.3 SSE  NE VERY_STEEP  4.7  41
2013 12 07 10 25  1.6  0.2 10.5  1.6  8.3  SE SSW    AVERAGE  4.7 197
2013 12 07 09 55  1.7  0.2 10.5  1.6  7.7 SSE SSW    AVERAGE  4.9 207
2013 12 07 09 25  1.5  0.2 10.5  1.5  7.7   S SSW    AVERAGE  4.9 201
2013 12 07 08 55  1.5  0.2 10.5  1.5  8.3 SSE SSW    AVERAGE  4.9 198
2013 12 07 08 25  1.7  0.2 10.5  1.7  8.3   S SSW    AVERAGE  5.0 211
2013 12 07 07 55  1.6  0.3 10.5  1.5  4.8   S  NE VERY_STEEP  4.8  49
2013 12 07 07 25  1.8  0.2 11.1  1.8  8.3  SE SSW    AVERAGE  5.2 204
2013 12 07 06 55  1.7  0.2 11.1  1.7  8.3 SSE SSW    AVERAGE  5.0 200
2013 12 07 06 25  1.7  0.2 10.5  1.7  4.8   S NNE VERY_STEEP  4.8  32
2013 12 07 05 55  1.7  0.2 10.5  1.7  7.7   S SSW      STEEP  4.8 209
2013 12 07 05 25  1.8  0.2 11.1  1.7  7.7   S SSW      STEEP  5.1 212
2013 12 07 04 55  1.9  0.2 10.5  1.8  7.7   S SSW      STEEP  5.2 211
